,vehicle_id,time_stamp,latitude,longitude
157,X0997116,2020-01-28 18:49:33,13.712117,100.6415
158,X0997116,2020-01-28 18:51:35,13.7113,100.638083
159,X0997116,2020-01-28 18:56:36,13.71,100.628033
160,X0997116,2020-01-28 18:57:33,13.70955,100.623933
161,X0997116,2020-01-28 18:58:47,13.709067,100.619117
162,X0997116,2020-01-28 18:59:33,13.709267,100.615067
163,X0997116,2020-01-28 19:03:49,13.712717,100.607317
164,X0997116,2020-01-28 19:04:35,13.7108,100.6027
165,X0997116,2020-01-28 19:05:31,13.710017,100.6013
166,X0997116,2020-01-28 19:07:31,13.709367000000002,100.599
167,X0997116,2020-01-28 19:09:34,13.71015,100.598117
168,X0997116,2020-01-28 19:10:29,13.710783,100.5977
169,X0997116,2020-01-28 19:16:53,13.709383,100.600233
170,X0997116,2020-01-28 19:17:59,13.70995,100.601283
171,X0997116,2020-01-28 19:20:00,13.710667,100.602333
172,X0997116,2020-01-28 19:20:56,13.711332999999998,100.603433
173,X0997116,2020-01-28 19:22:02,13.711867000000002,100.604633
174,X0997116,2020-01-28 19:23:02,13.712433,100.60635
175,X0997116,2020-01-28 19:24:56,13.712167,100.608583
176,X0997116,2020-01-28 19:29:46,13.711182999999998,100.610567
177,X0997116,2020-01-28 19:32:47,13.709,100.617983
178,X0997116,2020-01-28 19:34:39,13.709617,100.623683
179,X0997116,2020-01-28 19:37:44,13.710382999999998,100.631383
180,X0997116,2020-01-28 19:40:39,13.7113,100.637933
181,X0997116,2020-01-28 19:41:45,13.711733,100.63995
182,X0997116,2020-01-28 19:42:41,13.712567000000002,100.642667
183,X0997116,2020-01-28 19:44:46,13.714733,100.643467
184,X0997116,2020-01-28 19:47:42,13.716167,100.652383
185,X0997116,2020-01-28 19:48:37,13.7167,100.655617
186,X0997116,2020-01-28 19:49:43,13.717517,100.66055
187,X0997116,2020-01-28 19:50:38,13.718417,100.665483
188,X0997116,2020-01-28 19:51:42,13.718817,100.668133
189,X0997116,2020-01-28 19:52:37,13.719267000000002,100.671167
190,X0997116,2020-01-28 19:53:42,13.71975,100.674667
191,X0997116,2020-01-28 19:55:33,13.720567,100.68125
192,X0997116,2020-01-28 19:56:38,13.720717,100.684233
193,X0997116,2020-01-28 19:57:33,13.720967000000002,100.6884
194,X0997116,2020-01-28 19:58:38,13.721067,100.690067
195,X0997116,2020-01-28 19:59:33,13.72125,100.693283
196,X0997116,2020-01-28 20:00:38,13.7213,100.6958
197,X0997116,2020-01-28 20:01:33,13.721467,100.698567
198,X0997116,2020-01-28 20:04:39,13.722117,100.709717
199,X0997116,2020-01-28 20:05:34,13.7222,100.713417
200,X0997116,2020-01-28 20:09:39,13.722217,100.724317
201,X0997116,2020-01-28 20:14:34,13.722632999999998,100.7458
202,X0997116,2020-01-28 20:18:33,13.721683,100.760067
203,X0997116,2020-01-28 20:20:33,13.721817,100.768483
204,X0997116,2020-01-28 20:22:33,13.721932999999998,100.775683
205,X0997116,2020-01-28 20:23:38,13.721932999999998,100.780283
206,X0997116,2020-01-28 20:27:28,13.720567,100.794283
207,X0997116,2020-01-28 21:52:20,13.7166,100.799433
208,X0997116,2020-01-28 21:53:25,13.71545,100.799083
209,X1000116,2020-01-28 08:14:50,13.7214,100.698317
210,X1000116,2020-01-28 08:16:52,13.720883,100.690467
211,X1000116,2020-01-28 08:18:53,13.720567,100.6847
212,X1000116,2020-01-28 08:23:53,13.718333,100.666117
213,X1000116,2020-01-28 08:27:55,13.715932999999998,100.651833
214,X1000116,2020-01-28 08:29:47,13.71465,100.64855
215,X1000116,2020-01-28 08:34:49,13.711467,100.63915
216,X1000116,2020-01-28 08:38:53,13.710482999999998,100.6328
217,X1000116,2020-01-28 08:43:45,13.709283,100.621367
218,X1000116,2020-01-28 08:44:51,13.709217,100.62065
219,X1000116,2020-01-28 08:45:47,13.70915,100.620033
220,X1000116,2020-01-28 08:46:53,13.708967,100.618367
221,X1000116,2020-01-28 08:49:50,13.7089,100.617333
222,X1000116,2020-01-28 08:51:52,13.709183,100.615533
223,X1000116,2020-01-28 08:54:49,13.709832999999998,100.613
224,X1000116,2020-01-28 08:57:45,13.71055,100.611517
225,X1000116,2020-01-28 08:58:51,13.711332999999998,100.610133
226,X1000116,2020-01-28 09:05:43,13.708982999999998,100.599167
227,X1000116,2020-01-28 09:14:47,13.709267,100.60025
228,X1000116,2020-01-28 09:17:40,13.712183,100.6085
229,X1000116,2020-01-28 09:20:51,13.711417,100.609883
230,X1000116,2020-01-28 09:22:09,13.709667,100.6133
231,X1000116,2020-01-28 09:24:10,13.70915,100.62065
232,X1000116,2020-01-28 09:25:05,13.709483,100.623883
233,X1000116,2020-01-28 09:27:06,13.71035,100.631967
234,X1000116,2020-01-28 09:30:09,13.712983,100.643667
235,X1000116,2020-01-28 09:32:11,13.713517,100.643733
236,X1000116,2020-01-28 09:34:03,13.715683,100.650267
237,X1000116,2020-01-28 09:36:03,13.717583,100.660967
238,X1000116,2020-01-28 09:38:09,13.719183,100.671083
239,X1000116,2020-01-28 09:39:06,13.719782999999998,100.675517
240,X1000116,2020-01-28 09:42:01,13.720867000000002,100.688483
241,X1000116,2020-01-28 09:44:02,13.7211,100.692717
242,X1000116,2020-01-28 09:45:06,13.7211,100.6934
243,X1000116,2020-01-28 10:03:05,13.721832999999998,100.771233
244,X1000116,2020-01-28 10:04:00,13.721917,100.777217
245,X1000116,2020-01-28 12:03:41,13.72005,100.795417
246,X1000116,2020-01-28 12:06:38,13.721882999999998,100.78505
247,X1000116,2020-01-28 12:10:41,13.721717000000002,100.775617
248,X1000116,2020-01-28 12:14:35,13.72155,100.7592
249,X1000116,2020-01-28 12:15:41,13.721867,100.754417
250,X1000116,2020-01-28 12:18:39,13.72245,100.741567
251,X1000116,2020-01-28 12:19:35,13.722367000000002,100.738
252,X1000116,2020-01-28 12:25:42,13.722067,100.721617
253,X1000116,2020-01-28 12:26:37,13.722117,100.7183
254,X1000116,2020-01-28 12:27:33,13.722067,100.714567
255,X1000116,2020-01-28 12:29:35,13.721832999999998,100.70735
256,X1000116,2020-01-28 12:30:43,13.721717000000002,100.705183
257,X1000116,2020-01-28 12:32:35,13.721617000000002,100.702283
258,X1000116,2020-01-28 12:34:33,13.721017000000002,100.6926
259,X1000116,2020-01-28 12:35:39,13.720817000000002,100.688683
260,X1000116,2020-01-28 12:36:35,13.720532999999998,100.683333
261,X1000116,2020-01-28 12:45:32,13.711917,100.641067
262,X1000116,2020-01-28 12:46:38,13.711267,100.638283
263,X1000116,2020-01-28 12:51:38,13.709567000000002,100.62375
264,X1000116,2020-01-28 12:53:30,13.709133,100.615717
265,X1000116,2020-01-28 12:57:52,13.71265,100.60715
266,X1000116,2020-01-28 12:58:34,13.710683,100.602517
267,X1000116,2020-01-28 13:01:29,13.709032999999998,100.599617
268,X1000116,2020-01-28 13:02:35,13.71035,100.597733
269,X1000116,2020-01-28 13:03:31,13.711033,100.597717
270,X1000116,2020-01-28 13:08:54,13.70945,100.600633
271,X1000116,2020-01-28 13:15:05,13.709667,100.613567
272,X1000116,2020-01-28 13:24:54,13.712633,100.643167
273,X1000116,2020-01-28 13:28:01,13.71465,100.648483
274,X1000116,2020-01-28 13:28:57,13.716183,100.652717
275,X1000116,2020-01-28 13:30:05,13.716817,100.656283
276,X1000116,2020-01-28 13:31:01,13.718117,100.66385
277,X1000116,2020-01-28 13:32:53,13.719682999999998,100.674167
278,X1000116,2020-01-28 13:33:59,13.72055,100.681717
279,X1000116,2020-01-28 13:34:55,13.7208,100.686183
280,X1000116,2020-01-28 13:36:01,13.72105,100.691017
281,X1000116,2020-01-28 13:38:58,13.722067,100.708183
282,X1000116,2020-01-28 13:39:54,13.722167,100.7123
283,X1000116,2020-01-28 13:46:00,13.722582999999998,100.7409
284,X1000116,2020-01-28 13:47:53,13.722667,100.7479
285,X1000116,2020-01-28 13:51:54,13.7218,100.773817
286,X1000116,2020-01-28 13:53:57,13.721882999999998,100.778617
287,X1000116,2020-01-28 13:54:53,13.721982999999998,100.78325
288,X1000116,2020-01-28 13:57:52,13.718483,100.7997
289,X1000116,2020-01-28 15:04:35,13.7219,100.786467
290,X1000116,2020-01-28 15:13:39,13.721733,100.775517
291,X1000116,2020-01-28 15:14:33,13.7217,100.770367
292,X1000116,2020-01-28 15:15:39,13.721617000000002,100.764
293,X1000116,2020-01-28 15:17:45,13.722017,100.75375
294,X1000116,2020-01-28 15:19:37,13.7225,100.74515
295,X1000116,2020-01-28 15:20:32,13.722417000000002,100.7393
296,X1000116,2020-01-28 15:22:33,13.7223,100.733467
297,X1000116,2020-01-28 15:23:41,13.722183,100.7285
298,X1000116,2020-01-28 15:25:32,13.722017,100.722667
299,X1000116,2020-01-28 15:26:37,13.7221,100.718817
300,X1000116,2020-01-28 15:27:32,13.722067,100.716183
301,X1000116,2020-01-28 15:30:37,13.721767000000002,100.705783
302,X1000116,2020-01-28 15:32:37,13.72165,100.7029
303,X1000116,2020-01-28 15:36:36,13.7208,100.689017
304,X1000116,2020-01-28 15:37:31,13.720532999999998,100.683183
305,X1000116,2020-01-28 15:43:31,13.716867,100.657533
306,X1000116,2020-01-28 15:46:36,13.712732999999998,100.643817
307,X1000116,2020-01-28 15:47:31,13.711717000000002,100.640333
308,X1000116,2020-01-28 15:50:35,13.711,100.637033
309,X1000116,2020-01-28 15:53:30,13.710517,100.6328
310,X1000116,2020-01-28 15:55:31,13.70965,100.624717
311,X1000116,2020-01-28 16:00:25,13.710733,100.611267
312,X1000116,2020-01-28 16:17:14,13.710417,100.602033
313,X1000116,2020-01-28 16:18:08,13.71095,100.602817
314,X1000116,2020-01-28 16:19:24,13.712533,100.606717
315,X1000116,2020-01-28 16:35:14,13.71375,100.643667
316,X1000116,2020-01-28 16:39:23,13.717183,100.658567
317,X1000116,2020-01-28 16:40:19,13.718167,100.664133
318,X1000116,2020-01-28 16:43:16,13.7199,100.675783
319,X1000116,2020-01-28 16:44:12,13.720367,100.67925
320,X1000116,2020-01-28 16:45:18,13.720683,100.68355
321,X1000116,2020-01-28 16:46:13,13.720817000000002,100.686733
322,X1000116,2020-01-28 16:48:15,13.7212,100.693033
323,X1000116,2020-01-28 16:50:21,13.721367,100.6975
324,X1000116,2020-01-28 16:55:15,13.722217,100.714233
325,X1000116,2020-01-28 16:58:13,13.7222,100.722717
326,X1000116,2020-01-28 16:59:41,13.722217,100.725467
327,X1000116,2020-01-28 17:02:08,13.7225,100.7352
328,X1000116,2020-01-28 17:05:16,13.723017,100.750533
329,X1000116,2020-01-28 17:06:17,13.721667000000002,100.757233
330,X1000116,2020-01-28 17:07:12,13.721767000000002,100.763617
331,X1000116,2020-01-28 17:10:12,13.721917,100.77975
332,X1000116,2020-01-28 17:12:14,13.722017,100.782983
333,X1000116,2020-01-28 17:14:08,13.720933,100.79315
334,X1000116,2020-01-28 17:15:13,13.719732999999998,100.796483
335,X1000116,2020-01-28 17:16:09,13.71825,100.8003
336,X1000116,2020-01-28 17:51:57,13.717017000000002,100.799917
337,X1000116,2020-01-28 18:15:49,13.72045,100.794233
338,X1000116,2020-01-28 18:20:31,13.721967,100.787967
339,X1000116,2020-01-28 18:23:48,13.72195,100.7859
340,X1000116,2020-01-28 18:30:59,13.7218,100.779117
341,X1000116,2020-01-28 18:34:58,13.721717000000002,100.773183
342,X1000116,2020-01-28 18:36:58,13.721617000000002,100.764683
343,X1000116,2020-01-28 18:39:53,13.722567000000002,100.749167
344,X1000116,2020-01-28 18:40:58,13.722483,100.746
345,X1000116,2020-01-28 18:41:52,13.722433,100.74045
346,X1000116,2020-01-28 18:45:52,13.722183,100.729017
347,X1000116,2020-01-28 18:46:58,13.72215,100.7284
348,X1000116,2020-01-28 18:49:50,13.722032999999998,100.722267
349,X1000116,2020-01-28 18:51:50,13.722117,100.716933
350,X1000116,2020-01-28 18:52:55,13.72205,100.714417
351,X1000116,2020-01-28 18:53:50,13.722,100.711483
352,X1000116,2020-01-28 18:54:55,13.721917,100.70835
353,X1000116,2020-01-28 18:56:55,13.721583,100.703333
354,X1000116,2020-01-28 18:57:50,13.72155,100.702083
355,X1000116,2020-01-28 18:59:53,13.720917000000002,100.691533
356,X1000116,2020-01-28 19:02:57,13.720317,100.680733
357,X1000116,2020-01-28 19:05:52,13.718467,100.66685
358,X1000116,2020-01-28 19:07:52,13.717,100.6582
359,X1000116,2020-01-28 19:09:52,13.715483,100.64995
360,X1000116,2020-01-28 19:10:56,13.713117,100.645233
361,X1000116,2020-01-28 19:11:51,13.712667,100.643467
362,X1000116,2020-01-28 19:13:51,13.711982999999998,100.641033
363,X1000116,2020-01-28 19:14:56,13.71175,100.640217
364,X1000116,2020-01-28 19:16:56,13.7111,100.637533
365,X1000116,2020-01-28 19:19:53,13.710432999999998,100.632617
366,X1000116,2020-01-28 19:20:48,13.710117000000002,100.629517
367,X1000116,2020-01-28 19:21:53,13.7099,100.626783
368,X1000116,2020-01-28 19:24:05,13.709067,100.618967
369,X1000116,2020-01-28 19:35:56,13.710117000000002,100.5982
370,X1000116,2020-01-28 19:41:48,13.7097,100.598983
371,X1000116,2020-01-28 19:43:41,13.710417,100.60195
372,X1000116,2020-01-28 19:44:46,13.7111,100.60295
373,X1000116,2020-01-28 19:51:26,13.711232999999998,100.610383
374,X1000116,2020-01-28 19:53:25,13.709483,100.614483
375,X1000116,2020-01-28 19:58:21,13.710417,100.631833
376,X1000116,2020-01-28 19:59:29,13.710933,100.636283
377,X1000116,2020-01-28 20:00:25,13.71145,100.63885
378,X1000116,2020-01-28 20:04:22,13.712967,100.643883
379,X1000116,2020-01-28 20:05:27,13.713467,100.64605
380,X1000116,2020-01-28 20:06:21,13.714617,100.648367
381,X1000116,2020-01-28 20:09:28,13.718017,100.663533
382,X1000116,2020-01-28 20:14:21,13.7204,100.679533
383,X1000116,2020-01-28 20:18:26,13.721333,100.695317
384,X1000116,2020-01-28 20:20:25,13.721817,100.70385
385,X1000116,2020-01-28 20:22:25,13.722183,100.7128
386,X1000116,2020-01-28 20:23:20,13.722217,100.715167
387,X1000116,2020-01-28 20:25:20,13.722217,100.71995
388,X1000116,2020-01-28 20:27:19,13.722267,100.7269
389,X1000116,2020-01-28 20:30:23,13.722517000000002,100.739
390,X1000116,2020-01-28 20:31:18,13.722582999999998,100.743583
391,X1000116,2020-01-28 20:33:17,13.722233,100.753417
392,X1000116,2020-01-28 20:34:22,13.721633,100.75905
393,X1000116,2020-01-28 20:36:22,13.721767000000002,100.771333
394,X1000116,2020-01-28 20:37:27,13.721882999999998,100.7765
395,X1000116,2020-01-28 20:38:22,13.721867,100.780367
396,X1000116,2020-01-28 20:39:17,13.721917,100.782467
397,X1000116,2020-01-28 20:41:16,13.72205,100.787083
398,X1000116,2020-01-28 20:43:16,13.71965,100.7967
399,X1000116,2020-01-28 20:44:21,13.717933,100.800233
400,X1000116,2020-01-28 20:45:16,13.716817,100.79945
401,X100080610,2020-01-28 06:39:58,7.859630999999999,98.362915
402,X100080610,2020-01-28 06:44:00,7.862427999999999,98.36974
403,X100080610,2020-01-28 06:44:59,7.861585000000001,98.372734
404,X100080610,2020-01-28 06:46:00,7.859623,98.376175
405,X100080610,2020-01-28 06:47:00,7.858738000000001,98.379105
406,X100080610,2020-01-28 06:48:00,7.861467999999999,98.380394
407,X100080610,2020-01-28 06:49:02,7.865464999999999,98.38044
408,X100080610,2020-01-28 06:50:59,7.87058,98.38054
409,X100080610,2020-01-28 06:51:59,7.873282000000001,98.37826
410,X100080610,2020-01-28 06:59:59,7.876505,98.39264
411,X100080610,2020-01-28 07:03:00,7.882991,98.39527
412,X100080610,2020-01-28 07:05:01,7.885108,98.39923
413,X100080610,2020-01-28 07:10:01,7.891491999999999,98.38592
414,X100080610,2020-01-28 07:12:01,7.893783,98.38957
415,X100080610,2020-01-28 07:12:59,7.896063000000001,98.38937
416,X100080610,2020-01-28 07:14:01,7.9,98.388824
417,X100080610,2020-01-28 07:15:47,7.906965,98.390366
418,X100080610,2020-01-28 07:18:00,7.919513,98.39513
419,X100080610,2020-01-28 07:19:00,7.924746000000001,98.39575
420,X100080610,2020-01-28 07:20:00,7.928919,98.39567
421,X100080610,2020-01-28 07:21:00,7.922169999999999,98.39619
422,X100080610,2020-01-28 07:23:00,7.915895,98.393936
423,X100080610,2020-01-28 07:28:00,7.902222999999999,98.38847
424,X100080610,2020-01-28 07:28:59,7.899032000000001,98.38918
